Id,Response
1,3.5719957
3,3.6102636
4,3.5029035
9,3.8531666
12,3.6791916
13,4.207756
21,3.8749619
28,4.6069074
30,4.0255346
36,4.234953
38,4.6069074
43,4.3071413
45,4.128224
48,4.4593744
50,3.5988793
51,4.201521
54,4.062107
55,4.037997
59,4.1709166
62,2.865696
63,4.524323
66,4.472388
69,4.4063807
82,4.5409
83,3.7143168
84,3.8541803
86,4.385946
89,4.507189
90,2.9811828
92,4.125332
98,4.030406
100,3.4092772
105,3.7092054
115,4.443012
119,3.3259406
124,3.5845451
127,4.385946
133,4.3290515
140,3.8672612
141,4.5409
143,3.2590027
151,3.2661655
154,4.3237963
157,4.6069074
163,3.1020186
166,2.9326148
168,4.6069074
170,3.8373113
173,4.5409
180,3.3767033
182,4.163892
184,3.443149
185,4.154447
195,4.4576035
196,3.895781
197,3.5146444
212,4.136162
213,4.004285
219,4.5409
225,2.8083122
227,4.1375904
232,3.0548615
239,4.003048
247,3.4982715
251,3.4962578
254,3.5058389
261,4.178197
264,3.870289
267,4.407981
272,4.146747
275,4.2223034
277,3.8211784
283,4.1462173
284,3.119272
287,4.238093
291,4.6069074
293,3.9968634
294,3.0534687
305,4.139964
307,3.7999012
309,4.339078
311,3.5899603
322,3.8128617
323,4.1709166
326,3.9791892
330,3.5055494
335,4.3915963
337,4.2024055
338,3.956526
341,2.8822885
346,3.7365093
348,3.1807697
352,3.776692
356,4.3915963
358,3.1603925
366,3.668435
369,3.308187
373,3.5696402
375,3.3680003
381,3.8227909
384,4.3915963
386,3.5052328
396,3.9474144
397,2.456252
399,4.037298
405,4.5409
412,4.437579
417,3.3722181
421,3.3537605
425,4.348578
427,4.313815
430,3.51787
432,3.4782243
433,4.5409
436,4.503586
438,3.707685
441,4.5409
442,3.9798799
444,3.7563176
446,4.2484417
448,4.0058556
450,4.1484504
454,4.353863
465,4.6069074
470,3.712185
472,3.1254988
475,3.9595747
484,4.5409
495,4.3370733
497,4.4576035
498,4.321036
501,3.4467762
502,4.0058556
505,4.1116934
515,2.8866096
516,3.8017974
